targetGene,N_TFs,RSquared,
ADPRHL2,15,0.633777535,
ADRA2A,15,0.420092824,
ADRA2B,12,0.404001357,
ADRA2C,15,0.299665447,
ADRB2,15,0.396729112,
ADRM1,15,0.676072928,
ADSL,15,0.735086831,
AEBP2,15,0.531535804,
AFAP1,15,0.599471779,
AFAP1L1,15,0.629633258,
AFAP1L2,15,0.775679707,
AFDN,15,0.607834641,
AFF1,15,0.696288378,
AFF2,15,0.451133048,
AFF4,15,0.694419257,
AFTPH,15,0.73489186,
AGAP1,15,0.474284697,
AGAP2,15,0.435317616,
AGAP3,14,0.262023147,
AGFG1,15,0.486108429,
AGFG2,15,0.491087802,
AGGF1,15,0.314719989,
AGL,15,0.462978502,
AGO2,15,0.520397478,
AGO3,15,0.277482221,
AGPAT3,15,0.304945341,
AGPAT5,12,0.253290283,
AGRN,15,0.570838984,
AGTPBP1,15,0.441492282,
AGTR1,15,0.602545979,
AGTRAP,15,0.484696625,
AHCTF1,15,0.461629799,
AHCY,15,0.465032795,
AHCYL1,15,0.47311716,
AHCYL2,15,0.422029828,
AHDC1,15,0.383129752,
AHNAK,15,0.66608818,
AHNAK2,15,0.642277316,
AHR,15,0.7264048,
AHSA1,15,0.286534915,
AHSA2P,11,0.301751233,
AIDA,15,0.616401475,
AIF1,15,0.795873232,
AIF1L,15,0.393512869,
AIFM1,15,0.258796916,
AIG1,12,0.421571711,
AIMP2,15,0.285134223,
AIP,15,0.456850816,
AJM1,15,0.286798242,
AK1,15,0.254102826,
AK3,15,0.579155059,
AK4,15,0.404744798,
AK9,15,0.488424725,
AKAP1,15,0.313217121,
AKAP13,15,0.403954193,
AKAP17A,15,0.458195887,
AKAP2,15,0.4188219,
AKAP5,15,0.411285305,
AKAP7,15,0.439393752,
AKAP9,15,0.346838058,
AKIRIN1,15,0.392950755,
AKNA,15,0.564597471,
AKR1A1,15,0.589331316,
AKR1B1,15,0.405848525,
AKR1B15,15,0.476660495,
AKT1S1,15,0.65932263,
AKTIP,15,0.647352899,
ALAD,15,0.469273468,
ALCAM,15,0.280067199,
ALDH16A1,10,0.312900904,
ALDH1B1,15,0.578314216,
ALDH1L2,15,0.253351151,
ALDH2,15,0.487479858,
ALDH3A2,15,0.413529172,
ALDH3B2,15,0.450710452,
ALDH4A1,15,0.502365197,
ALDH7A1,15,0.65796347,
ALDOA,15,0.679777103,
ALG10B,15,0.355220989,
ALG11,15,0.632588057,
ALG12,15,0.320983254,
ALG2,15,0.493717751,
ALG3,15,0.453469333,
ALG5,15,0.49618513,
ALG9,15,0.341896183,
ALKBH2,15,0.429289531,
ALKBH4,15,0.303963019,
ALKBH5,15,0.590599232,
ALKBH6,15,0.324081453,
ALKBH7,15,0.536153253,
ALKBH8,15,0.435838054,
ALOX5AP,15,0.514432211,
ALPK2,14,0.282557385,
ALPK3,15,0.647334926,
ALPP,15,0.589533859,
ALS2CL,15,0.464799548,
ALX3,6,0.264861655,
ALYREF,15,0.458546187,
AMACR,15,0.301490347,
AMBRA1,15,0.475086049,
AMD1,15,0.545939714,
AMDHD2,15,0.286781615,
AMER1,15,0.343364251,
AMER2,7,0.341583311,
AMFR,15,0.746018454,
AMIGO2,15,0.553035374,
AMMECR1,15,0.682709895,
AMN1,15,0.422336287,
AMOT,15,0.572511658,
AMOTL1,15,0.537598038,
AMOTL2,15,0.355116499,
AMT,15,0.394098615,
AMZ1,15,0.399960461,
ANAPC11,15,0.510030142,
ANAPC15,15,0.447705425,
ANAPC2,15,0.340412527,
ANGPT2,5,0.307160361,
ANGPTL2,15,0.505109433,
ANGPTL4,15,0.535731762,
ANKDD1A,15,0.439404143,
ANKFY1,15,0.330329206,
ANKH,15,0.480437684,
ANKHD1,15,0.66635939,
ANKIB1,15,0.356686671,
ANKLE2,15,0.407011738,
ANKMY2,15,0.440156301,
ANKRA2,15,0.271193235,
ANKRD1,15,0.303822243,
ANKRD10,15,0.3987411,
ANKRD11,15,0.293531499,
ANKRD12,15,0.728454087,
ANKRD13A,15,0.602141715,
ANKRD13D,15,0.324366855,
ANKRD17,15,0.471676266,
ANKRD18EP,15,0.346518897,
ANKRD20A5P,15,0.393397673,
ANKRD24,15,0.351312268,
ANKRD28,15,0.27410404,
ANKRD33B,15,0.410537124,
ANKRD37,15,0.728919888,
ANKRD39,15,0.394782205,
ANKRD40,15,0.591722747,
ANKRD49,15,0.357700341,
ANKRD50,15,0.685005937,
ANKRD52,15,0.351817571,
ANKRD6,15,0.28359723,
ANKRD65,15,0.328079637,
ANKRD9,15,0.55309828,
ANO1,15,0.340102574,
ANO10,15,0.316336679,
ANO6,15,0.556765047,
ANP32A,12,0.25454447,
ANP32B,15,0.423383116,
ANP32E,15,0.487241491,
ANPEP,15,0.460038525,
ANTXR1,15,0.704527634,
ANTXR2,15,0.423174259,
ANXA1,15,0.282675432,
ANXA11,14,0.437651055,
ANXA2,15,0.45703308,
ANXA2R,15,0.342827898,
ANXA3,15,0.408037061,
ANXA4,15,0.497575765,
ANXA5,15,0.446740144,
ANXA6,15,0.580882315,
ANXA8,15,0.426842711,
ANXA8L1,14,0.289064696,
AOAH,15,0.600654823,
AP1AR,15,0.282336595,
AP1B1,15,0.435372319,
AP1G1,15,0.513730738,
AP1G2,15,0.405633862,
AP1M2,15,0.487556872,
AP1S1,15,0.33757882,
AP1S2,15,0.637169755,
AP1S3,15,0.585169832,
AP2A1,15,0.510557684,
AP2M1,15,0.54948264,
AP3M1,15,0.598675737,
AP4E1,15,0.489774511,
AP4S1,15,0.408741715,
AP5B1,15,0.514548717,
AP5S1,15,0.373706676,
AP5Z1,15,0.383514986,
APAF1,15,0.455959595,
APBB1,15,0.402163621,
APBB1IP,15,0.74541995,
APC,15,0.420016152,
APCDD1,15,0.586968309,
APEH,15,0.428092382,
APEX1,15,0.68786757,
APEX2,15,0.263230732,
APH1A,15,0.491202462,
APH1B,15,0.258076032,
API5,15,0.521760054,
APLF,15,0.443832578,
APLNR,12,0.603323184,
APLP2,15,0.403198218,
APMAP,15,0.299194306,
APOBEC3A,15,0.433493352,
APOBEC3C,15,0.696807298,
APOBEC3G,15,0.601487695,
APOBR,15,0.312460909,
APOD,12,0.539438903,
APOE,15,0.480490931,
APOL1,13,0.358109985,
APOL2,13,0.335832814,
APOL3,15,0.499004215,
APOL6,15,0.791349972,
APOLD1,15,0.555998884,
APOO,15,0.421546315,
APOOL,15,0.429374433,
APP,15,0.616803943,
APPL1,15,0.631503728,
APPL2,15,0.501462541,
APRT,15,0.469841965,
AQP1,15,0.387579067,
ARAF,15,0.339358426,
ARAP1,15,0.458000301,
ARCN1,15,0.48750862,
AREG,15,0.364902012,
AREL1,14,0.474461135,
ARF1,15,0.753269609,
ARF6,15,0.327749982,
ARFGAP1,15,0.332450917,
ARFGAP2,15,0.433159325,
ARFGEF2,15,0.507771852,
ARFGEF3,15,0.594959605,
ARFIP1,15,0.45402615,
ARFIP2,15,0.561923584,
ARFRP1,15,0.303697691,
ARG2,15,0.374068274,
ARHGAP1,15,0.332925209,
ARHGAP11A,15,0.560150029,
ARHGAP12,15,0.375021186,
ARHGAP17,15,0.743625573,
ARHGAP18,15,0.288801649,
ARHGAP21,15,0.28158747,
ARHGAP23,15,0.376745108,
ARHGAP25,15,0.441092303,
ARHGAP26,15,0.733932797,
ARHGAP29,15,0.394623378,
ARHGAP30,15,0.575589277,
ARHGAP32,15,0.421853088,
ARHGAP35,15,0.594057083,
ARHGAP4,15,0.52842716,
ARHGAP42,15,0.487985677,
ARHGAP45,15,0.681882731,
ARHGAP5,15,0.500926373,
ARHGAP9,15,0.516112028,
ARHGDIA,13,0.472196759,
ARHGDIB,15,0.51704914,
ARHGEF1,15,0.50202773,
ARHGEF11,15,0.514882844,
ARHGEF12,15,0.708525914,
ARHGEF25,15,0.321151353,
ARHGEF3,15,0.265667322,
ARHGEF37,15,0.714927622,
ARHGEF4,15,0.59929207,
ARHGEF40,15,0.309937733,
ARID1A,15,0.494138565,
ARID2,15,0.601653143,
ARID3A,15,0.736546932,
ARID3B,15,0.440527335,
ARID5A,15,0.693464507,
ARID5B,15,0.698861731,
ARIH1,15,0.550491551,
ARIH2,15,0.318779558,
ARL1,15,0.439114326,
ARL13B,15,0.41570765,
ARL15,15,0.717283508,
ARL2,15,0.409885537,
ARL2BP,15,0.320069286,
ARL3,15,0.483959547,
ARL4A,15,0.336725827,
ARL4C,15,0.609262731,
ARL4D,15,0.250197517,
ARL5A,15,0.66922463,
ARL5B,15,0.639341469,
ARL6IP1,15,0.480851588,
ARL6IP4,15,0.6889179,
ARL6IP5,15,0.309404373,
ARL6IP6,15,0.706935995,
ARL8A,15,0.309645238,
ARL8B,15,0.631976109,
ARMC5,15,0.433644682,
ARMC6,15,0.256771891,
ARMC7,15,0.316137693,
ARMC8,15,0.321843957,
ARMCX2,15,0.342675615,
ARMS2,15,0.387835213,
ARMT1,15,0.358032798,
ARNT,15,0.387319349,
ARNT2,8,0.372923837,
ARPC1A,15,0.380431302,
ARPC1B,15,0.463022845,
ARPC2,15,0.50920682,
ARPC3,15,0.455808661,
ARPC5,15,0.290417062,
ARPC5L,15,0.516387282,
ARPIN,15,0.306312535,
ARPP19,15,0.638209939,
ARRB1,15,0.401989765,
ARRB2,15,0.731349781,
ARRDC1,14,0.28173765,
ARRDC2,15,0.567859925,
ARRDC3,15,0.771521376,
ARRDC4,15,0.756201268,
ARSA,15,0.451879381,
ARSI,15,0.429436164,
ARSJ,13,0.413997258,
ART4,15,0.477114575,
ARTN,15,0.307750389,
ARV1,15,0.307828975,
ASAP1,15,0.45024913,
ASAP2,15,0.283593864,
ASAP3,15,0.629158943,
ASB13,15,0.47512078,
ASB16,15,0.320090062,
ASB3,15,0.288250121,
ASB6,15,0.470179381,
ASB7,15,0.61928942,
ASB8,15,0.332724162,
ASCC2,6,0.321656588,
ASCL2,15,0.523680934,
ASH1L,15,0.825625577,
ASIC3,13,0.305984894,
ASL,15,0.497248211,
ASMTL,15,0.297467321,
ASNA1,15,0.699231075,
ASPH,15,0.622087598,
ASPSCR1,15,0.505516899,
ASS1,15,0.617216384,
ASTN2,8,0.291930426,
ASXL2,15,0.715225462,
ATAD1,15,0.745313868,
ATAD2,15,0.515929414,
ATAD5,15,0.490260181,
ATF1,15,0.683437674,
ATF2,15,0.26614433,
ATF3,15,0.475471149,
ATF4,15,0.598214783,
ATF6,15,0.475903288,
ATF7IP,8,0.522362305,
ATG101,15,0.577554303,
ATG12,15,0.415189843,
ATG13,15,0.554363671,
ATG14,15,0.5253661,
ATG2A,15,0.273355785,
ATG3,15,0.404235274,
ATG4B,15,0.338616414,
ATG4D,15,0.448035083,
ATG9A,15,0.637221243,
ATG9B,9,0.288859305,
ATIC,15,0.424346761,
ATL2,15,0.549677942,
ATN1,15,0.598420556,
ATOH8,15,0.55996753,
ATOX1,15,0.328016867,
ATP10A,15,0.422965174,
ATP13A1,15,0.275024724,
ATP13A2,5,0.268044024,
ATP13A3,15,0.516222566,
ATP1A1,15,0.452739958,
ATP1B1,15,0.284744333,
ATP5F1A,15,0.684493588,
ATP5F1B,15,0.670666065,
ATP5F1C,15,0.452428446,
ATP5F1E,15,0.631401599,
ATP5IF1,15,0.507529057,
ATP5MC1,15,0.522028928,
ATP5MC2,15,0.533730593,
ATP5MC3,15,0.501728174,
ATP5MD,15,0.557234165,
ATP5ME,15,0.604881636,
ATP5MF,15,0.621066407,
ATP5MG,15,0.522067858,
ATP5MPL,15,0.419705279,
ATP5PB,15,0.501802678,
ATP5PD,15,0.522534922,
ATP5PF,15,0.446783725,
ATP5PO,15,0.709363938,
ATP6AP1,15,0.697577967,
ATP6V0A4,7,0.266490724,
ATP6V0B,15,0.705361117,
ATP6V0C,15,0.53565576,
ATP6V0D1,15,0.476248561,
ATP6V0E1,15,0.617674979,
ATP6V0E2,15,0.341716352,
ATP6V1A,15,0.615562918,
ATP6V1B1,15,0.544865051,
ATP6V1B2,14,0.325907014,
ATP6V1C1,15,0.439730736,
ATP6V1D,15,0.364900977,
ATP6V1E1,15,0.672969444,
ATP6V1F,15,0.378234452,
ATP6V1G1,15,0.681773716,
ATP7A,15,0.472630949,
ATP7B,15,0.532816223,
ATP8B1,15,0.371032801,
ATP8B2,15,0.736342535,
ATP9B,15,0.439992433,
ATPAF1,15,0.548282403,
ATRAID,15,0.578283191,
ATRIP,13,0.279142637,
ATRX,15,0.412012758,
ATXN1,15,0.554804457,
ATXN10,15,0.552438845,
ATXN1L,15,0.647433754,
ATXN2,15,0.298798787,
ATXN2L,15,0.61570319,
ATXN7,15,0.795839757,
ATXN7L3,15,0.560375413,
ATXN7L3B,15,0.275883301,
AUNIP,15,0.44082216,
AUP1,15,0.612346076,
AURKA,15,0.635601481,
AURKAIP1,15,0.747794586,
AURKB,15,0.501307074,
AUTS2,13,0.306127717,
AVEN,15,0.271444517,
AVPI1,15,0.638772917,
AXIN1,15,0.419910123,
AXIN2,15,0.493424421,
AXL,15,0.771036292,
AZI2,15,0.317751187,
AZIN1,15,0.813734081,
B2M,15,0.669083819,
B3GALNT1,15,0.4678593,
B3GALT6,14,0.313342724,
B3GAT3,15,0.524891957,
B3GLCT,15,0.445213645,
B3GNT2,15,0.49553943,
B3GNT5,15,0.545826589,
B3GNT7,13,0.56282628,
B3GNT9,15,0.431324639,
B4GALNT2,14,0.292182466,
B4GALT1,15,0.698250234,
B4GALT3,15,0.690619373,
B4GALT5,3,0.261509469,
B4GAT1,15,0.528401439,
B9D1,15,0.27848248,
B9D2,15,0.396039857,
BABAM1,15,0.725198311,
BABAM2,15,0.487050447,
BACE1,15,0.367097836,
BACH1,15,0.546544765,
BAG1,15,0.480370251,
BAG2,15,0.54332496,
BAG3,15,0.41986292,
BAG4,15,0.464549806,
BAG5,15,0.604662106,
BAHD1,11,0.322532202,
BAMBI,15,0.611349125,
BANF1,15,0.50845533,
BANP,15,0.733186735,
BAP1,15,0.555977989,
BARD1,15,0.285567528,
BASP1,15,0.437973207,
BATF,15,0.364423613,
BATF2,15,0.436459007,
BAX,15,0.275410623,
BAZ1A,15,0.358213745,
BAZ2A,15,0.805107358,
BAZ2B,15,0.542981349,
BBOX1,15,0.370142034,
BBS10,15,0.323593421,
BBS12,15,0.405168321,
BBS2,14,0.253400832,
BBS5,15,0.377634753,
BBX,15,0.642930027,
BCAM,15,0.412823249,
BCAP29,15,0.454744656,
BCAP31,15,0.551038806,
BCAR3,15,0.72604099,
BCAS2,15,0.332863817,
BCAT2,15,0.294003843,
BCCIP,15,0.292801325,
BCKDHA,15,0.352487139,
BCKDHB,15,0.269765783,
BCL2,15,0.756241029,
BCL2A1,15,0.556764085,
BCL2L11,15,0.38114311,
BCL2L12,15,0.524519175,
BCL2L13,15,0.391273491,
BCL2L2,15,0.585937602,
BCL6,15,0.74178134,
BCL6B,15,0.469512694,
BCL7B,15,0.537452278,
BCL7C,15,0.300089818,
BCL9L,15,0.507850791,
BCOR,15,0.458217442,
BCR,15,0.443087043,
BDH2,6,0.535020967,
BEAN1,15,0.310602873,
BECN1,15,0.431031206,
BEST1,15,0.52945342,
BET1,15,0.659767424,
BET1L,12,0.36903258,
BEX2,15,0.522138543,
BEX3,15,0.755901151,
BEX4,15,0.667381188,
BHLHE40,15,0.794015177,
BHLHE41,15,0.350960966,
BICC1,15,0.602823783,
BICD1,15,0.545358234,
BICRAL,15,0.462264204,
BIN1,15,0.725228741,
BIN2,15,0.260942659,
BIRC2,15,0.383437548,
BIRC5,15,0.331302558,
BIRC7,15,0.457118751,
BIVM,15,0.285694221,
BLCAP,15,0.522870798,
BLMH,15,0.602175332,
BLNK,15,0.303316376,
BLOC1S1,15,0.473793136,
BLOC1S2,15,0.424311826,
BLOC1S4,15,0.462259486,
BLOC1S5,15,0.278836178,
BLVRA,15,0.539584414,
BLVRB,15,0.4900081,
BLZF1,11,0.344048963,
BMI1,15,0.735916835,
BMP1,15,0.805781672,
BMP2,15,0.457523266,
BMP2K,15,0.267863025,
BMP4,15,0.51231141,
BMP6,15,0.560869373,
BMP7,15,0.705569975,
BMP8B,15,0.285256282,
BMPER,15,0.278875514,
BMPR2,15,0.667075,
BMS1P3,9,0.338509384,
BMT2,15,0.484844784,
BMX,15,0.32455435,
BNC2,15,0.338915475,
BNIP1,15,0.410520157,
BNIP2,15,0.467190355,
BNIP3,15,0.306591262,
BOC,15,0.307778728,
BOLA2B,13,0.441625794,
BOLA3,15,0.6223185,
BOP1,14,0.291373975,
BORCS6,15,0.387436158,
BORCS7,15,0.501362004,
BORCS8,15,0.33889489,
BPGM,15,0.731758039,
BPHL,15,0.304802914,
BPNT1,15,0.255031356,
BPTF,15,0.459721954,
BRAF,15,0.444120579,
BRAP,15,0.608207427,
BRAT1,15,0.422031819,
BRCC3,3,0.288330078,
BRD1,15,0.504608564,
BRD3,15,0.357550841,
BRD4,15,0.66424134,
BRD7,15,0.529287615,
BRD8,15,0.431361561,
BRI3,15,0.284288008,
BRI3BP,15,0.535628962,
BRIX1,12,0.313335204,
BRK1,15,0.517456199,
BRMS1,15,0.650338167,
BROX,15,0.681575752,
BRPF1,15,0.411586152,
BRPF3,15,0.58675588,
BRWD1,15,0.759233405,
BRWD3,15,0.499018215,
BSCL2,15,0.26090267,
BSDC1,15,0.768480855,
BSG,15,0.327624432,
BST1,15,0.539729978,
BTAF1,15,0.567380326,
BTBD10,15,0.549301806,
BTBD16,12,0.256462031,
BTBD19,15,0.335844505,
BTBD2,15,0.464940094,
BTBD6,15,0.467379382,
BTBD9,15,0.39081029,
BTF3,15,0.356141938,
BTG2,15,0.637648648,
BTG3,15,0.494559259,
BTN2A1,15,0.27075493,
BTN2A2,15,0.393921552,
BTN2A3P,15,0.337325114,
BTN3A2,15,0.520961343,
BUB1,15,0.701537713,
BUB1B,15,0.547598647,
BUD13,15,0.546367161,
BUD31,15,0.532089418,
BYSL,15,0.53353034,
BZW1,15,0.53682666,
BZW2,15,0.419481373,
C10orf90,15,0.582545149,
C11orf1,15,0.377060565,
C11orf24,15,0.3474722,
C11orf52,15,0.587528095,
C11orf58,15,0.604420614,
C11orf68,15,0.482727453,
C11orf74,15,0.447217826,
C11orf95,15,0.377913847,
C11orf96,15,0.527581342,
C11orf98,15,0.557233247,
C12orf29,15,0.25752887,
C12orf57,15,0.558532187,
C12orf66,15,0.329768549,
C12orf75,15,0.439208708,
C14orf119,15,0.502820167,
C15orf39,15,0.540094209,
C15orf48,15,0.328911019,
C16orf58,15,0.476141428,
C16orf72,15,0.693189384,
C16orf74,15,0.565290762,
C16orf87,9,0.273051749,
C16orf91,15,0.507227048,
C17orf49,15,0.432356493,
C17orf53,15,0.259922425,
C17orf58,15,0.464282667,
C17orf75,15,0.256946491,
C18orf25,15,0.610836276,
C18orf32,15,0.27044475,
C18orf54,15,0.359726917,
C19orf24,15,0.454125323,
C19orf25,15,0.282838815,
C19orf47,15,0.268136425,
C19orf48,15,0.644922907,
C19orf66,15,0.661647844,
C19orf70,15,0.67455645,
C1GALT1C1,15,0.346365432,
C1orf109,15,0.31162454,
C1orf115,15,0.571599005,
C1orf122,15,0.649531749,
C1orf123,15,0.290279994,
C1orf131,15,0.268604952,
C1orf162,15,0.566669652,
C1orf174,15,0.332959841,
C1orf21,6,0.313042343,
C1orf35,15,0.31056744,
C1orf43,15,0.479079087,
C1orf54,15,0.656748209,
C1orf74,14,0.348001676,
C1QBP,15,0.682164349,
C1QC,15,0.799420441,
C1QTNF1,15,0.331197277,
C1QTNF5,15,0.468550389,
C1R,15,0.775495366,
C1RL,15,0.484631948,
C1S,15,0.600684347,
C2,15,0.364158162,
C20orf27,15,0.637925128,
C21orf91,15,0.533403251,
C22orf23,15,0.568953113,
C2CD5,15,0.351449883,
C2orf49,15,0.527830888,
C2orf69,15,0.443610469,
C2orf72,15,0.562454388,
C2orf76,15,0.274240726,
C2orf88,14,0.313436423,
C3orf14,15,0.272172321,
C3orf18,9,0.258971493,
C3orf52,15,0.313653313,
C3orf58,15,0.641446552,
C3orf70,15,0.409466468,
C4BPB,15,0.339810019,
C4orf19,15,0.578425797,
C4orf3,15,0.606794128,
C4orf33,15,0.423245839,
C4orf36,15,0.281687399,
C4orf46,15,0.287775066,
C5AR1,15,0.476969779,
C5orf15,15,0.573718326,
C5orf22,15,0.402001024,
C5orf24,15,0.268725444,
C5orf30,15,0.462002893,
C5orf51,15,0.551163156,
C6orf106,15,0.266323325,
C6orf120,15,0.54286628,
C6orf132,15,0.306344646,
C6orf48,15,0.378645591,
C6orf89,15,0.56108562,
C7orf26,11,0.309548202,
C7orf43,15,0.591656552,
C8orf33,15,0.375376345,
C8orf37,15,0.428571993,
C8orf58,15,0.793321932,
C8orf59,15,0.441076745,
C9orf16,15,0.470087356,
C9orf40,15,0.323683483,
C9orf72,13,0.447102914,
CA5BP1,7,0.287199254,
CA8,14,0.280454414,
CAB39,15,0.37992068,
CAB39L,15,0.582866866,
CAB39P1,15,0.364116794,
CABLES1,15,0.372518525,
CABLES2,15,0.417361828,
CACHD1,15,0.568830252,
CACNA1H,15,0.393801958,
CACNA2D1,15,0.390336546,
CACNB4,7,0.378410896,
CACTIN,15,0.263768864,
CACUL1,15,0.579056497,
CACYBP,15,0.291225554,
CADM1,15,0.426169499,
CADM3,8,0.383364786,
CADPS2,15,0.42431493,
CALCOCO2,15,0.444043987,
CALD1,15,0.532431842,
CALHM2,15,0.462012991,
CALHM5,15,0.707585983,
CALHM6,15,0.491387692,
CALM1,15,0.835039461,
CALM2,15,0.732308722,
CALM3,15,0.543390829,
CALML4,15,0.422004555,
CALR,15,0.293497517,
CALU,15,0.537858898,
CAMK1,15,0.575858374,
CAMK1D,15,0.429861645,
CAMK2D,15,0.289507414,
CAMK2G,15,0.532212537,
CAMKK2,7,0.325778161,
CAMSAP2,15,0.702506594,
CAMSAP3,15,0.346372422,
CAMTA1,15,0.446466933,
CAND1,15,0.693865764,
CANT1,15,0.653722092,
CAP1,15,0.361036208,
CAP2,15,0.567028136,
CAPN10,15,0.412658304,
CAPN15,15,0.289360539,
CAPN2,15,0.588500653,
CAPN5,15,0.585442373,
CAPN6,15,0.674965571,
CAPN7,15,0.615169882,
CAPNS1,15,0.364805886,
CAPRIN1,15,0.720947077,
CAPS,15,0.283159747,
CAPZB,15,0.277538559,
CARD14,15,0.315818972,
CARD16,15,0.31431348,
CARD19,15,0.25378106,
CARD9,15,0.268909053,
CARF,15,0.35284486,
CARHSP1,15,0.71460111,
CARM1,15,0.266142146,
CARNMT1,13,0.256949896,
CARS2,13,0.322106054,
CASC10,15,0.462501338,
CASC3,15,0.65716909,
CASC4,15,0.640416066,
CASD1,15,0.597887936,
CASK,15,0.296982405,
CASP1,12,0.261263138,
CASP2,15,0.493972632,
